Address, Area, Size(in m^2), Price(in NOK), Bedrooms 
 Peter Møllers vei 8-14, Oslo,37 ,1 170 000 ,NaN
Ammerudhellinga 43, Oslo,70 ,3 200 000,2
Nordåssløyfa 25B, Oslo,143 ,4 800 000,NaN
Radarveien 55, Oslo,65 ,3 950 000,2
Orrebakken 12, Oslo,404 ,34 900 000,4
Ensjøveien 29c, Oslo,39 ,3 290 000,1
Rugdestien 14, Oslo,428 ,37 000 000,6
Gangstuveien 2A, Oslo,70 ,3 100 000,2
Ensjøveien 29c, Oslo,55 ,3 900 000,1
Nils Bays vei 35, Oslo,198 ,21 500 000,4
Maria Dehlis vei 15, Oslo,64 ,2 850 000,1
Barnehjemsveien 15, Oslo,68 ,5 100 000,2
Trondheimsveien 139B, Oslo,87 ,6 250 000,2
Brinken 16D, Oslo,42 ,3 890 000,1
Frichs gate 3, Oslo,92 ,7 950 000,2
Kirkeveien 114, Oslo,67 ,6 200 000,2
Martin Skatvedts vei 5B, Oslo,64 ,3 300 000,2
Treschows gate 17F, Oslo,49 ,4 200 000,1
Ruseløkkveien 49, Oslo,58 ,5 700 000,1
Rosteds gate 2A, Oslo,87 ,6 990 000,2
Hoffsjef Løvenskiolds vei 2 M, Oslo,241 ,19 500 000,4
Camilla Colletts vei 16, Oslo,115 ,10 900 000,2
Stockfleths gate 54C, Oslo,66 ,5 850 000,3
Filerveien 2, Oslo,65 ,3 790 000,2
Dragonstien 97D, Oslo,62 ,3 000 000,1
Stjerneblokkveien 9, Oslo,65 ,3 190 000,2
Geitmyrsveien 73E, Oslo,61 ,5 150 000,2
Aspehaugveien 10B, Oslo,273 ,13 990 000,5
Ormøybakken 2, Oslo,129 ,12 500 000,3
Kirkeåsveien 5E, Oslo,146 ,12 900 000,3
Hellinga 18, Oslo,62 ,3 500 000,2
Munkerudstubben 22B, Oslo,47 ,2 950 000,1
Kantarellen terrasse 15, Oslo,59 ,2 590 000,1
Normannsgata 34B, Oslo,97 ,10 700 000,3
Østerliveien 43B, Oslo,68 ,4 500 000,2
Sandstuveien 26 D, Oslo,122 ,11 500 000,3
Ekebergveien 312, Oslo,114 ,6 500 000,3
Ole Messelts vei 54C, Oslo,44 ,2 900 000,1
Zetlitz' gate 2A, Oslo,103 ,8 190 000,2
Møllefaret 54D, Oslo,157 ,9 790 000,4
Olaf Bulls vei 40, Oslo,71 ,4 850 000,1
Ullernchausséen 116B, Oslo,67 ,6 290 000,2
Uranienborgveien 13, Oslo,27 ,3 390 000,1
Gladvollveien 41, Oslo,61 ,4 200 000 ,NaN
Sollerudveien 31C, Oslo,28 ,1 950 000,NaN
Treskeveien 1, Oslo,70 ,4 000 000,2
Schwachs gate 1, Oslo,89 ,8 800 000,3
Dælenenggata 16A, Oslo,49 ,4 200 000,1
Fernanda Nissens gate 1B, Oslo,80 ,8 900 000,3
Bølerbakken 4, Oslo,67 ,3 190 000,2
Platous gate 4F, Oslo,51 ,3 700 000,1
Gregers Grams vei 6D, Oslo,202 ,16 200 000,4
Sars' gate 46, Oslo,53 ,3 900 000,1
Odvar Solbergs vei 40, Oslo,87 ,3 100 000,2
Operagata 15, Oslo,84 ,12 490 000,2
Stensgata 10A, Oslo,84 ,7 350 000,5
Majorstuveien 15A, Oslo,150 ,13 800 000,3
Lambertseterveien 35, Oslo,25 ,2 890 000,1
Skjoldveien 36A, Oslo,157 ,16 000 000,4
Rådyrstien 12, Oslo,110 ,5 650 000,3
Eiriks gate 18, Oslo,36 ,3 450 000,1
Ullern allé 103, Oslo,99 ,7 500 000,3
Stiftamtmann Kaas' vei 3, Oslo,80 ,10 950 000,2
Oskar Braatens gate 2, Oslo,69 ,4 550 000,2
Langgata 47, Oslo,54 ,3 900 000,1
Grusveien 40, Oslo,64 ,4 200 000,2
Kristins vei 17, Oslo,70 ,4 100 000,2
Vøyensvingen 16D, Oslo,29 ,3 400 000,1
VIBES GATE 16 A, Oslo,75 ,7 300 000,2
Aslaug Vaas veg 5D, Oslo,189 ,18 950 000,4
Reichweins gate 6B, Oslo,115 ,10 000 000,2
Ole Vigs gate 8B, Oslo,79 ,7 650 000,2
St. Olavs gate 8A, Oslo,33 ,3 690 000,1
Traverveien 29, Oslo,67 ,4 500 000,2
Vibes gate 16C, Oslo,46 ,4 990 000,1
Halvdan Svartes gate 2A, Oslo,133 ,11 490 000,2
Bølerlia 28, Oslo,67 ,3 850 000,2
Vallefaret 20, Oslo,52 ,4 000 000,1
Myrerskogveien 15, Oslo,46 ,3 200 000,1
Fernanda Nissens gate 3C, Oslo,60 ,5 850 000,2
Majorstuveien 35A, Oslo,102 ,9 950 000,3
Trosterudveien 36C, Oslo,250 ,17 250 000,4
Sandakerveien 16A, Oslo,51 ,5 000 000,2
Inkognito terrasse 5B, Oslo,93 ,9 600 000,2
Seljeveien 27, Oslo,95 ,7 450 000,3
Bjørnåsveien 23, Oslo,70 ,3 300 000,2
Biermanns gate 9, Oslo,42 ,3 700 000,1
Lillebergveien 3, Oslo,54 ,3 900 000,1
Økern torgvei 9B, Oslo,74 ,3 700 000,2
Per Kvibergs gate 28A, Oslo,71 ,6 700 000,2
Colletts gate 76, Oslo,49 ,4 200 000,1
Åsengata 32, Oslo,55 ,4 900 000,2
Trondheimsveien 79, Oslo,54 ,3 990 000,1
Myrerskogveien 28, Oslo,41 ,3 400 000,NaN
Huk Aveny 58 F, Oslo,66 ,6 800 000 ,NaN
Utmarkveien 13, Oslo,58 ,3 100 000,1
Etterstadsletta 95A, Oslo,67 ,4 600 000,2
Lillogata 5P, Oslo,80 ,6 490 000,2
Bolteløkka allé 2, Oslo,77 ,7 990 000,2
Seljeveien 31, Oslo,50 ,5 150 000,2
Lindebergåsen 46H, Oslo,62 ,2 950 000,1
Sigurd A. Danielsens vei 3E, Oslo,64 ,5 000 000,2
Skjelderups gate 14 A, Oslo,59 ,4 700 000,1
Presidentgata 3A, Oslo,39 ,3 850 000,1
Lunden 38, Oslo,65 ,4 200 000,2
Øvre Smestadvei 24B, Oslo,260 ,21 000 000,5
Paal Bergs vei 171A, Oslo,63 ,4 200 000,2
Haugerudveien 74, Oslo,59 ,3 400 000,1
Gladvollveien 41, Oslo,61 ,4 200 000,2
Tante Ulrikkes vei 48B, Oslo,70 ,3 200 000,2
Niels juels gate 27, Oslo,65 ,6 290 000,2
Thereses gate 19 B, Oslo,76 ,7 000 000,2
Casparis gate 2, Oslo,83 ,6 500 000,3
Sørbyhaugen 4, Oslo,368 ,18 950 000,4
Skovveien 4, Oslo,12 ,1 400 000,NaN
Klaus Torgårds vei 6A, Oslo,82 ,7 400 000,2
Østerliveien 57A, Oslo,59 ,3 450 000,1
Sandakerveien 10M, Oslo,33 ,3 650 000,1
Sofies gate 12C, Oslo,95 ,8 450 000,3
Jonsrudveien 1D, Oslo,63 ,6 500 000,1
Solheimgata 1A, Oslo,111 ,10 690 000,3
Bergkrystallen 5, Oslo,66 ,4 100 000,2
Svingen 10 D, Oslo,81 ,7 900 000,2
Vestlisvingen 82, Oslo,62 ,2 800 000,1
Bergensveien 4A, Oslo,34 ,2 800 000,NaN
Frydens gate 5 A, Oslo,60 ,4 990 000,2
Selma Ellefsens vei 3D, Oslo,89 ,2 970 000,4
Kalbakkveien 17, Oslo,72 ,3 400 000,3
